                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5883,                 2.0812,                 1.2793,                 0.9546,                0.36402,                0.75038,                0.44726,                 1.2805,                 2.4053,                 1.0371,             0.00043342,             0.00043342,             0.00043342
                      2,                 1.3376,                 1.1882,                 1.1218,                 0.7348,                0.67785,                0.80505,                0.47289,                 1.2806,                 1.8659,                 1.0224,             0.00079604,             0.00079604,             0.00079604
                      3,                 1.2342,                 1.0555,                 1.0903,                0.92881,                0.74835,                0.88342,                0.51821,                 1.2655,                 1.5936,                 1.0157,              0.0010695,              0.0010695,              0.0010695
                      4,                 1.2008,                0.99296,                 1.0658,                0.85464,                0.78885,                0.86757,                0.53782,                 1.2457,                 1.2722,                 1.0281,              0.0011719,              0.0011719,              0.0011719
                      5,                 1.1668,                0.94564,                  1.054,                0.91346,                0.84773,                0.92134,                0.57999,                 1.1838,                0.91921,                 0.9948,              0.0010069,              0.0010069,              0.0010069
                      6,                 1.1335,                0.90029,                 1.0398,                0.89724,                0.86135,                0.92153,                0.60507,                 1.1502,                0.89364,                 1.0003,             0.00084184,             0.00084184,             0.00084184
                      7,                 1.1032,                 0.8578,                 1.0199,                0.94315,                0.85494,                0.93724,                0.64136,                 1.0898,                0.86059,                0.98519,              0.0006768,              0.0006768,              0.0006768
                      8,                 1.1222,                0.84352,                 1.0245,                0.94025,                0.86684,                0.94494,                0.60878,                 1.1551,                0.81752,                0.97613,             0.00051177,             0.00051177,             0.00051177
                      9,                 1.0459,                0.80476,                0.99593,                0.94953,                0.86983,                0.94521,                0.63295,                 1.0949,                 0.8048,                0.97383,             0.00034674,             0.00034674,             0.00034674
                     10,                 1.0079,                0.77441,                0.98861,                0.94512,                0.87604,                0.95163,                0.64977,                 1.0643,                0.76052,                0.96515,              0.0001817,              0.0001817,              0.0001817
