                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.613,                 1.8964,                 1.3133,                0.83202,                0.76589,                0.89716,                0.43886,                 1.5287,                 1.6006,                 1.1747,             0.00054518,             0.00054518,             0.00054518
                      2,                 1.3298,                 1.0567,                 1.1562,                0.92196,                0.89382,                0.97221,                0.62886,                 1.2323,                 1.0649,                 1.0694,              0.0010791,              0.0010791,              0.0010791
                      3,                 1.2976,                0.98515,                 1.1388,                0.93752,                0.92129,                0.97122,                0.61808,                 1.1627,                0.91227,                 1.0621,              0.0015909,              0.0015909,              0.0015909
                      4,                 1.2424,                0.91405,                 1.1284,                0.96981,                0.93082,                0.98045,                0.66425,                 1.1279,                0.78245,                 1.0381,               0.001568,               0.001568,               0.001568
                      5,                 1.2461,                0.88182,                 1.1187,                 0.9318,                0.90761,                0.96481,                0.61889,                 1.2188,                0.86186,                 1.0765,               0.001535,               0.001535,               0.001535
                      6,                 1.1987,                 0.8292,                 1.1048,                0.94926,                0.94192,                0.97934,                0.66183,                 1.0989,                0.75526,                 1.0201,               0.001502,               0.001502,               0.001502
                      7,                 1.1534,                0.77799,                 1.0877,                0.96696,                0.95926,                0.98179,                0.61663,                 1.2215,                0.71787,                 1.0406,               0.001469,               0.001469,               0.001469
                      8,                  1.138,                0.75841,                 1.0807,                0.97096,                0.95922,                0.98234,                0.66609,                 1.0624,                 0.6705,                0.99815,               0.001436,               0.001436,               0.001436
                      9,                 1.1745,                 0.7619,                 1.1014,                0.97867,                0.94829,                 0.9851,                0.65282,                 1.1258,                0.70291,                 1.0346,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.1133,                0.70525,                 1.0676,                0.97529,                0.97098,                0.98695,                0.65077,                 1.1589,                0.61617,                 1.0022,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.1415,                0.71438,                 1.0829,                0.97575,                0.95875,                0.98547,                0.68133,                 1.0598,                0.62833,                 1.0089,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.1077,                0.68934,                 1.0676,                0.96898,                0.95856,                0.98575,                0.67672,                 1.0911,                0.60799,                 1.0015,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.0747,                0.66544,                 1.0635,                0.97688,                0.96507,                0.98685,                0.66967,                 1.1003,                0.61894,                0.99402,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.0847,                0.66308,                 1.0663,                0.97789,                0.96516,                0.98579,                0.68121,                 1.0623,                0.60053,                 1.0063,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.0674,                0.65231,                 1.0531,                0.98393,                0.97231,                0.98983,                0.68555,                 1.0769,                 0.5771,                0.98926,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.0795,                 0.6468,                  1.057,                0.98139,                0.97445,                0.98998,                0.68784,                 1.0573,                0.55623,                0.99017,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.0346,                0.63271,                 1.0496,                0.97093,                0.97207,                0.98683,                0.70767,                0.99701,                0.54872,                0.96551,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.0391,                0.62437,                 1.0439,                0.97461,                0.96577,                 0.9878,                0.65063,                 1.1904,                0.59977,                 1.0446,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.0352,                0.60769,                 1.0407,                0.97738,                0.96912,                0.98784,                0.70358,                 1.0192,                0.55142,                0.99156,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.0446,                0.61312,                   1.05,                0.98088,                0.97305,                0.99055,                0.71922,                 0.9953,                0.53026,                0.97873,              0.0010399,              0.0010399,              0.0010399
                     21,                  1.001,                0.58324,                 1.0314,                0.97876,                0.97774,                0.99256,                0.71032,                0.99093,                0.52241,                0.97174,              0.0010069,              0.0010069,              0.0010069
                     22,                0.99721,                0.58345,                 1.0273,                0.97939,                0.98189,                0.99205,                0.70854,                 1.0132,                0.52974,                0.97722,             0.00097386,             0.00097386,             0.00097386
                     23,                0.99195,                0.57097,                 1.0269,                0.97885,                0.97941,                0.99074,                0.71017,                 1.0376,                0.49555,                0.97921,             0.00094085,             0.00094085,             0.00094085
                     24,                0.96949,                0.55842,                 1.0191,                0.98264,                0.97086,                0.99061,                0.69289,                 1.0547,                0.53379,                0.99675,             0.00090785,             0.00090785,             0.00090785
                     25,                0.98591,                0.57279,                 1.0292,                0.98048,                0.97833,                0.99124,                0.70295,                 1.0386,                0.52459,                0.99053,             0.00087484,             0.00087484,             0.00087484
                     26,                0.97558,                0.56169,                 1.0235,                0.98074,                0.97346,                0.99055,                0.71163,                 1.0226,                0.53068,                0.97407,             0.00084184,             0.00084184,             0.00084184
                     27,                 0.9664,                0.55138,                 1.0204,                0.98532,                0.97461,                0.99201,                0.73266,                0.97707,                0.47552,                0.96816,             0.00080883,             0.00080883,             0.00080883
                     28,                 0.9598,                0.54635,                 1.0146,                0.96967,                0.98433,                0.99147,                0.72566,                0.96728,                0.49062,                0.96707,             0.00077582,             0.00077582,             0.00077582
                     29,                0.95891,                0.54151,                 1.0145,                0.98208,                0.97398,                0.99189,                0.71987,                 1.0007,                0.49948,                0.97297,             0.00074282,             0.00074282,             0.00074282
                     30,                 0.9507,                0.54229,                 1.0077,                0.98025,                0.97723,                0.99079,                 0.7185,                0.97992,                 0.4903,                0.96442,             0.00070981,             0.00070981,             0.00070981
                     31,                0.94684,                0.52654,                 1.0084,                0.98577,                0.97811,                0.99271,                0.73837,                0.96726,                0.47076,                0.96408,              0.0006768,              0.0006768,              0.0006768
                     32,                0.93817,                 0.5247,                 1.0072,                0.98888,                0.98109,                0.99252,                 0.7366,                0.95308,                0.45839,                0.95608,              0.0006438,              0.0006438,              0.0006438
                     33,                0.94135,                0.51839,                 1.0063,                0.98355,                0.97525,                0.99206,                0.72114,                0.99706,                0.48567,                 0.9699,             0.00061079,             0.00061079,             0.00061079
                     34,                0.90288,                0.50794,                 0.9943,                0.98433,                0.97848,                0.99253,                0.72823,                0.96954,                0.46156,                 0.9645,             0.00057778,             0.00057778,             0.00057778
                     35,                0.90442,                0.50636,                0.99322,                0.99457,                0.97843,                0.99331,                0.73631,                0.95813,                0.46436,                0.95902,             0.00054478,             0.00054478,             0.00054478
                     36,                0.90537,                0.50768,                0.99451,                0.98802,                0.98097,                0.99065,                0.71606,                 1.0042,                0.47663,                0.97213,             0.00051177,             0.00051177,             0.00051177
                     37,                0.90353,                0.50092,                0.99293,                 0.9885,                0.98137,                0.99195,                0.74071,                0.93548,                0.45223,                0.95331,             0.00047876,             0.00047876,             0.00047876
                     38,                0.89102,                0.49469,                0.98859,                0.98793,                0.97397,                0.98977,                0.73511,                0.94558,                 0.4483,                0.95025,             0.00044576,             0.00044576,             0.00044576
                     39,                0.88034,                0.49025,                 0.9838,                0.98727,                0.98264,                 0.9919,                0.73113,                0.96327,                0.45727,                0.95313,             0.00041275,             0.00041275,             0.00041275
