                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5262,                  1.201,                 1.2302,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.069437,              0.0034981,              0.0034981
                      2,                 1.4032,                0.85637,                  1.176,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.037785,              0.0063442,              0.0063442
                      3,                 1.3057,                0.76854,                 1.1432,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0082372,              0.0082372,              0.0082372
                      4,                 1.2708,                0.73669,                 1.1252,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0082372,              0.0082372,              0.0082372
                      5,                 1.2344,                0.66854,                 1.0986,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0072208,              0.0072208,              0.0072208
                      6,                 1.1834,                 0.6261,                 1.0704,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0062044,              0.0062044,              0.0062044
                      7,                 1.1293,                0.59503,                 1.0442,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005188,               0.005188,               0.005188
                      8,                 1.0819,                0.56047,                 1.0208,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0041717,              0.0041717,              0.0041717
                      9,                 1.0408,                0.53027,                0.99838,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0031553,              0.0031553,              0.0031553
                     10,                 1.0017,                0.49234,                0.98063,                0.97423,                0.95968,                0.98408,                0.70136,                 1.0311,                0.46563,                0.92947,              0.0021389,              0.0021389,              0.0021389
