                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0597,                 1.8132,                 1.9208,                0.73755,                0.35341,                 0.3508,                0.10113,                 3.6684,                 2.7897,                 2.4807,             0.00046772,             0.00046772,             0.00046772
                      2,                 1.5042,                 1.2136,                  1.505,                0.91209,                0.77247,                0.86911,                 0.5472,                  1.374,                 1.2434,                 1.4089,             0.00092864,             0.00092864,             0.00092864
                      3,                 1.3981,                 1.1292,                 1.4246,                0.89971,                0.83683,                0.89386,                0.58188,                 1.3026,                 1.0192,                  1.313,              0.0013705,              0.0013705,              0.0013705
                      4,                 1.3218,                 1.0756,                   1.38,                0.91055,                 0.8299,                 0.9089,                0.57499,                 1.2652,                 1.0159,                 1.2786,              0.0015678,              0.0015678,              0.0015678
                      5,                 1.2703,                 1.0171,                  1.343,                0.89099,                0.85281,                0.92056,                0.60345,                 1.2223,                  0.973,                 1.2633,              0.0015347,              0.0015347,              0.0015347
                      6,                 1.2481,                0.99237,                 1.3297,                0.89988,                0.85904,                0.92337,                 0.6036,                 1.1934,                0.91692,                 1.2533,              0.0015017,              0.0015017,              0.0015017
                      7,                 1.2682,                0.99208,                 1.3227,                0.90121,                0.84423,                0.91264,                0.60614,                 1.2044,                0.91807,                 1.2468,              0.0014686,              0.0014686,              0.0014686
                      8,                 1.2124,                0.94744,                 1.3034,                 0.9306,                0.85329,                  0.933,                0.61145,                 1.2293,                0.88294,                 1.2656,              0.0014355,              0.0014355,              0.0014355
                      9,                 1.1957,                0.91927,                 1.2948,                 0.9263,                  0.874,                 0.9384,                0.61036,                 1.1832,                0.88797,                 1.2538,              0.0014025,              0.0014025,              0.0014025
                     10,                 1.1969,                0.92051,                 1.2965,                0.92853,                0.88577,                0.93998,                0.61784,                  1.197,                0.85336,                 1.2412,              0.0013694,              0.0013694,              0.0013694
                     11,                  1.179,                0.88412,                 1.2773,                0.90413,                0.87876,                0.92689,                0.62565,                 1.1859,                0.84098,                  1.244,              0.0013363,              0.0013363,              0.0013363
                     12,                 1.1786,                0.88306,                 1.2889,                0.90784,                0.87704,                0.93855,                0.61997,                 1.1782,                0.87325,                 1.2351,              0.0013033,              0.0013033,              0.0013033
                     13,                 1.1519,                0.86545,                  1.272,                0.90933,                0.87252,                0.93306,                0.60717,                 1.1712,                0.87385,                 1.2256,              0.0012702,              0.0012702,              0.0012702
                     14,                 1.1883,                 0.8853,                 1.2886,                0.90991,                0.85062,                0.93544,                0.60422,                 1.2139,                0.86038,                 1.2488,              0.0012371,              0.0012371,              0.0012371
                     15,                 1.1409,                0.85819,                 1.2682,                0.91403,                0.88555,                0.93885,                0.62375,                 1.1774,                0.83342,                 1.2413,              0.0012041,              0.0012041,              0.0012041
                     16,                 1.1338,                0.82137,                 1.2549,                0.90589,                0.86219,                 0.9358,                0.60968,                 1.2093,                0.86787,                 1.2486,               0.001171,               0.001171,               0.001171
                     17,                 1.1437,                0.83577,                 1.2611,                 0.9225,                0.87558,                0.93836,                0.62202,                 1.1738,                0.83298,                 1.2364,              0.0011379,              0.0011379,              0.0011379
                     18,                 1.1335,                0.83045,                 1.2679,                0.92909,                0.87172,                0.94632,                 0.6263,                 1.1765,                 0.7988,                 1.2214,              0.0011049,              0.0011049,              0.0011049
                     19,                 1.1318,                 0.8272,                 1.2549,                0.92528,                0.87228,                0.94266,                0.62703,                 1.1945,                0.79856,                 1.2265,              0.0010718,              0.0010718,              0.0010718
                     20,                 1.1038,                0.79609,                 1.2403,                0.90948,                0.88352,                0.94147,                0.61977,                 1.1955,                0.80005,                 1.2289,              0.0010387,              0.0010387,              0.0010387
                     21,                 1.1147,                0.80223,                 1.2488,                0.91263,                0.88572,                0.94698,                0.63609,                 1.1656,                0.79202,                 1.2276,              0.0010057,              0.0010057,              0.0010057
                     22,                 1.0786,                0.78393,                 1.2374,                0.91841,                0.89174,                0.94527,                 0.6277,                 1.1624,                0.78916,                  1.215,             0.00097262,             0.00097262,             0.00097262
                     23,                 1.0875,                0.79534,                 1.2454,                0.91316,                0.89386,                0.94586,                 0.6343,                 1.1689,                0.76512,                 1.2229,             0.00093955,             0.00093955,             0.00093955
                     24,                 1.0623,                0.76212,                 1.2254,                 0.9236,                 0.8859,                0.94236,                0.63798,                 1.1359,                0.75725,                 1.2173,             0.00090648,             0.00090648,             0.00090648
                     25,                 1.0798,                 0.7713,                 1.2293,                0.92416,                0.87516,                0.94182,                0.62199,                  1.192,                0.78646,                 1.2289,             0.00087342,             0.00087342,             0.00087342
                     26,                 1.0588,                0.75941,                 1.2253,                0.92097,                0.88033,                 0.9448,                0.63775,                 1.1569,                0.76952,                 1.2243,             0.00084035,             0.00084035,             0.00084035
                     27,                 1.0573,                0.75144,                 1.2254,                0.91363,                0.88144,                0.94443,                0.64435,                 1.1322,                0.76218,                 1.2107,             0.00080729,             0.00080729,             0.00080729
                     28,                  1.045,                0.74762,                 1.2188,                0.92169,                0.87969,                0.95085,                0.64198,                 1.1674,                0.76416,                 1.2235,             0.00077422,             0.00077422,             0.00077422
                     29,                  1.053,                0.74812,                 1.2171,                0.93208,                0.88077,                0.94981,                0.64096,                 1.1535,                0.74421,                 1.2153,             0.00074115,             0.00074115,             0.00074115
                     30,                 1.0427,                0.73819,                 1.2177,                0.90733,                0.89868,                0.94724,                 0.6406,                 1.1387,                0.75548,                 1.2196,             0.00070809,             0.00070809,             0.00070809
                     31,                 1.0694,                0.74206,                 1.2267,                 0.9265,                0.89432,                0.94939,                0.64024,                 1.1576,                0.74388,                  1.215,             0.00067502,             0.00067502,             0.00067502
                     32,                 1.0391,                0.72898,                 1.2177,                0.91942,                0.89155,                0.94906,                0.64637,                 1.1459,                0.73745,                 1.2146,             0.00064196,             0.00064196,             0.00064196
                     33,                 1.0366,                0.72231,                 1.2096,                0.93137,                0.88303,                0.95085,                0.63515,                  1.156,                0.74477,                 1.2163,             0.00060889,             0.00060889,             0.00060889
                     34,                 1.0324,                0.73098,                 1.2107,                 0.9198,                0.88682,                0.94901,                0.64487,                 1.1333,                 0.7423,                  1.208,             0.00057582,             0.00057582,             0.00057582
                     35,                  1.028,                 0.7224,                 1.2109,                0.92195,                0.88827,                0.94589,                0.64024,                  1.154,                0.74082,                 1.2208,             0.00054276,             0.00054276,             0.00054276
                     36,                 1.0268,                0.71259,                  1.211,                0.92312,                0.88239,                0.94365,                0.63796,                 1.1628,                0.73024,                 1.2187,             0.00050969,             0.00050969,             0.00050969
                     37,                 1.0289,                0.70895,                 1.2082,                0.94658,                0.86764,                0.94735,                0.64859,                 1.1301,                0.72894,                 1.2086,             0.00047663,             0.00047663,             0.00047663
                     38,                 1.0094,                0.70494,                 1.2069,                0.93391,                0.88579,                 0.9463,                0.64309,                 1.1478,                0.73838,                 1.2098,             0.00044356,             0.00044356,             0.00044356
                     39,                  1.014,                0.71096,                 1.2088,                0.92468,                0.90469,                0.95035,                0.64903,                 1.1291,                0.72272,                 1.2077,             0.00041049,             0.00041049,             0.00041049
                     40,                0.99703,                0.69135,                 1.1978,                0.91024,                0.90485,                0.94877,                0.65269,                 1.1249,                0.72377,                 1.2026,             0.00037743,             0.00037743,             0.00037743
                     41,                0.91792,                 0.6304,                 1.1506,                0.90873,                0.90375,                0.94874,                0.64652,                 1.1437,                0.72734,                 1.2166,             0.00034436,             0.00034436,             0.00034436
                     42,                0.93662,                0.63564,                 1.1575,                0.93944,                 0.8666,                0.94569,                0.64031,                 1.1583,                0.74076,                 1.2201,              0.0003113,              0.0003113,              0.0003113
                     43,                0.91857,                 0.6245,                 1.1549,                0.91484,                0.89176,                0.94719,                0.63876,                 1.1624,                0.74577,                 1.2152,             0.00027823,             0.00027823,             0.00027823
                     44,                0.90967,                0.61975,                 1.1478,                0.92424,                0.89723,                0.95198,                0.64794,                 1.1356,                0.71962,                 1.2114,             0.00024516,             0.00024516,             0.00024516
                     45,                0.89684,                0.60629,                 1.1459,                0.93182,                0.89341,                0.94993,                0.64115,                 1.1581,                 0.7325,                 1.2199,              0.0002121,              0.0002121,              0.0002121
                     46,                0.88937,                0.59836,                 1.1385,                0.92952,                0.88983,                0.94903,                0.64769,                 1.1388,                0.71735,                 1.2094,             0.00017903,             0.00017903,             0.00017903
                     47,                0.88565,                0.60019,                  1.142,                0.92634,                 0.8894,                0.94766,                0.64751,                 1.1324,                0.71833,                 1.2085,             0.00014597,             0.00014597,             0.00014597
                     48,                 0.8761,                0.59716,                 1.1382,                0.91755,                0.89362,                0.94879,                0.65302,                  1.124,                0.71298,                 1.2056,              0.0001129,              0.0001129,              0.0001129
                     49,                0.87563,                 0.5914,                 1.1343,                0.92706,                0.89663,                0.95224,                0.64852,                 1.1324,                0.71374,                 1.2067,             7.9835e-05,             7.9835e-05,             7.9835e-05
                     50,                0.87409,                 0.5874,                 1.1374,                0.92466,                0.89504,                   0.95,                0.65515,                 1.1164,                0.70651,                 1.2017,             4.6769e-05,             4.6769e-05,             4.6769e-05
