fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.67609,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.6758,0.0107,0.00911,0.937,0.0005,2.94386,0.80055,7.43262,0.49672,1.5,0.01571,0.7,0.38604,0.0,0.1,0.5,0.0,0.0,0.0,0.49619,0.0,0.97294,0.0,0.0
0.67054,0.00939,0.0106,0.96927,0.0005,3.4842,0.81994,7.43828,0.55825,1.46718,0.01421,0.66016,0.3629,0.0,0.1,0.45209,0.0,0.0,0.0,0.46914,0.0,1.0,0.0,0.0
0.67971,0.00728,0.01006,0.937,0.00038,3.10588,0.68016,7.31267,0.56397,1.56853,0.01135,0.7,0.23634,0.0,0.11484,0.48382,0.0,0.0,0.0,0.23573,0.0,0.95383,0.0,0.0
0.67547,0.01,0.00993,0.937,0.00036,3.0,0.42307,9.62712,0.48354,1.79318,0.01388,0.74354,0.46244,0.0,0.1,0.5619,0.0,0.0,0.0,0.49887,0.0,1.0,0.0,0.0
0.68009,0.01,0.01,0.93701,0.0005,3.00004,0.79998,7.49993,0.49998,1.50004,0.015,0.69997,0.4,0.0,0.1,0.49998,0.0,0.0,0.0,0.50003,0.0,0.99999,0.0,0.0
0.68635,0.00728,0.01298,0.91422,0.00039,3.10588,0.64411,6.93635,0.57149,1.83397,0.01525,0.82202,0.19626,0.0,0.12406,0.4699,0.0,0.0,0.0,0.2831,0.0,1.0,0.0,0.0
0.68227,0.00786,0.01128,0.78567,0.00028,3.59214,0.4604,6.95179,0.43774,1.98456,0.02095,0.89617,0.19626,0.0,0.12449,0.45706,0.0,0.0,0.0,0.2831,0.0,1.0,0.0,0.0
0.68116,0.00737,0.0153,0.89702,0.00035,3.30367,0.503,7.63293,0.60991,1.66209,0.01477,0.81153,0.19626,0.0,0.11068,0.45786,0.0,0.0,0.0,0.24948,0.0,1.0,0.0,0.0
0.679,0.00893,0.01128,0.80836,0.00028,3.51358,0.51536,7.48535,0.47015,1.98456,0.0203,0.89617,0.1782,0.0,0.12449,0.47802,0.0,0.0,0.0,0.28716,0.0,1.0,0.0,0.0
0.67667,0.0077,0.01128,0.78567,0.00029,3.55011,0.4604,7.09967,0.45589,2.03803,0.01992,0.89617,0.20431,0.0,0.12818,0.43487,0.0,0.0,0.0,0.27612,0.0,0.99754,0.0,0.0
0.67989,0.00728,0.01264,0.92285,0.0004,2.73855,0.69744,6.93635,0.5185,1.83397,0.01705,0.87462,0.22594,0.0,0.11614,0.4699,0.0,0.0,0.0,0.2831,0.0,0.98769,0.0,0.0
0.68134,0.0048,0.01686,0.89496,0.00043,3.4297,0.64411,7.78659,0.40817,1.93441,0.01422,0.82202,0.19626,0.0,0.16263,0.38795,0.0,0.0,0.0,0.2429,0.0,1.0,0.0,0.0
0.67361,0.00691,0.01298,0.89433,0.00047,3.68055,0.64411,6.93635,0.51881,1.83397,0.01525,0.82202,0.22195,0.0,0.12072,0.48977,0.0,0.0,0.0,0.21139,0.0,1.0,0.0,0.0
0.67953,0.00699,0.0129,0.91878,0.0004,3.10588,0.64411,6.93635,0.54071,1.83397,0.01502,0.85899,0.19431,0.0,0.1219,0.4699,0.0,0.0,0.0,0.27996,0.0,1.0,0.0,0.0
0.68243,0.00728,0.01338,0.91946,0.00042,3.10588,0.67494,7.64519,0.61605,1.83397,0.01293,0.9,0.18039,0.0,0.11495,0.49817,0.0,0.0,0.0,0.43311,0.0,0.94532,0.0,0.0
0.67819,0.00728,0.01055,0.91422,0.00041,2.79035,0.64411,9.26196,0.57149,2.31362,0.0178,0.87382,0.20598,0.0,0.12453,0.44184,0.0,0.0,0.0,0.23957,0.0,0.87125,0.0,0.0
0.66954,0.00759,0.01454,0.94591,0.00047,3.10588,0.60949,7.64519,0.6239,1.85497,0.01293,0.9,0.18626,0.0,0.10662,0.47565,0.0,0.0,0.0,0.388,0.0,0.97749,0.0,0.0
0.67607,0.00747,0.01199,0.96272,0.00041,3.1965,0.65776,6.93635,0.57149,2.22452,0.01689,0.80707,0.21404,0.0,0.16035,0.41341,0.0,0.0,0.0,0.35324,0.0,0.87826,0.0,0.0
0.67443,0.00678,0.01277,0.96695,0.00042,2.79854,0.59486,9.44037,0.5293,1.52743,0.01528,0.9,0.1987,0.0,0.06845,0.44469,0.0,0.0,0.0,0.29242,0.0,1.0,0.0,0.0
0.68076,0.00726,0.00951,0.79625,0.00028,3.59214,0.54803,6.95179,0.47367,2.22828,0.02557,0.9,0.22536,0.0,0.11253,0.41064,0.0,0.0,0.0,0.26411,0.0,1.0,0.0,0.0
0.68076,0.00609,0.01128,0.73504,0.00023,3.59214,0.65078,7.61538,0.3279,2.1988,0.02095,0.9,0.18597,0.0,0.12449,0.45304,0.0,0.0,0.0,0.2831,0.0,1.0,0.0,0.0
0.68027,0.00649,0.01356,0.91946,0.00042,3.10588,0.66864,8.03127,0.63832,1.80685,0.01248,0.9,0.1674,0.0,0.12009,0.51761,0.0,0.0,0.0,0.42888,0.0,0.93068,0.0,0.0
0.6814,0.00728,0.0129,0.90858,0.00039,3.09083,0.64411,7.09695,0.57149,1.85281,0.01558,0.82202,0.20065,0.0,0.119,0.46392,0.0,0.0,0.0,0.2734,0.0,1.0,0.0,0.0
0.67774,0.00874,0.01113,0.91422,0.00043,3.20506,0.64411,7.19919,0.55406,1.57815,0.01525,0.9,0.16453,0.0,0.14003,0.4699,0.0,0.0,0.0,0.32108,0.0,0.90615,0.0,0.0
0.67991,0.00794,0.0118,0.90648,0.00037,3.10899,0.64698,6.52948,0.62931,1.76903,0.01525,0.78935,0.17993,0.0,0.12406,0.49828,0.0,0.0,0.0,0.29893,0.0,0.95488,0.0,0.0
