                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2257,                0.96053,                 1.0706,                0.92749,                0.84105,                0.92165,                0.61326,                 1.1653,                0.86096,                 1.0058,             0.00043342,             0.00043342,             0.00043342
                      2,                 1.2408,                0.93069,                  1.088,                0.88203,                0.86338,                0.90549,                0.58885,                  1.172,                0.92722,                 1.0243,             0.00087476,             0.00087476,             0.00087476
                      3,                 1.2785,                0.96448,                 1.1098,                0.89477,                0.83639,                0.89081,                0.57357,                 1.1467,                0.93619,                 1.0219,              0.0013072,              0.0013072,              0.0013072
                      4,                 1.2205,                0.89946,                 1.0841,                0.90036,                0.84654,                0.92187,                0.61102,                 1.1219,                0.82241,                 1.0344,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.2167,                0.88808,                 1.0854,                0.91844,                0.85222,                0.92288,                0.51886,                  1.319,                0.89058,                 1.0322,               0.001601,               0.001601,               0.001601
                      6,                 1.2011,                0.87338,                 1.0918,                0.90104,                0.83133,                0.91705,                0.60562,                 1.1515,                0.88162,                 1.0148,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.1896,                0.85943,                 1.0841,                0.91205,                0.84669,                 0.9124,                0.58313,                 1.1647,                0.83469,                 1.0342,               0.001568,               0.001568,               0.001568
                      8,                 1.1975,                0.83782,                 1.0905,                0.88211,                0.87634,                0.92273,                0.60522,                 1.1418,                0.84829,                 1.0437,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.2572,                0.86879,                  1.104,                0.89895,                0.81468,                0.89634,                0.59793,                 1.1509,                0.88214,                  1.034,               0.001535,               0.001535,               0.001535
                     10,                 1.1958,                0.83145,                 1.0797,                0.89145,                0.82924,                0.91915,                0.59641,                   1.18,                0.80326,                 1.0138,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.1338,                0.78631,                 1.0562,                0.92433,                0.86533,                0.94028,                0.62952,                 1.0923,                0.70901,                 1.0002,               0.001502,               0.001502,               0.001502
                     12,                 1.1242,                0.75207,                 1.0439,                0.90034,                0.90374,                0.94731,                0.63576,                 1.1246,                0.68923,                  1.003,              0.0014855,              0.0014855,              0.0014855
                     13,                  1.107,                0.74604,                 1.0544,                0.91963,                 0.8745,                0.93877,                0.61537,                 1.1345,                0.73481,                0.99475,               0.001469,               0.001469,               0.001469
                     14,                 1.1579,                0.77606,                 1.0557,                0.93278,                0.87097,                0.93867,                0.63429,                  1.082,                 0.7288,                 1.0003,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.1298,                0.74492,                  1.055,                0.91059,                0.90333,                0.94535,                0.64942,                 1.0623,                0.67375,                0.99444,               0.001436,               0.001436,               0.001436
                     16,                 1.0987,                0.71956,                 1.0458,                0.90238,                 0.8796,                0.94527,                0.64415,                 1.0484,                0.69186,                 1.0016,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.1402,                0.74303,                 1.0586,                0.93846,                0.89088,                0.94704,                0.64687,                 1.0641,                0.69382,                0.99987,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.0926,                0.71698,                 1.0486,                 0.9299,                0.88377,                0.94702,                0.64867,                 1.0528,                0.65918,                0.99739,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.1029,                0.71156,                 1.0396,                0.92562,                0.87946,                0.94928,                0.64843,                 1.0465,                 0.6496,                0.99903,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.0886,                0.70278,                 1.0457,                0.94529,                0.85881,                0.94987,                0.65214,                   1.07,                0.64788,                 1.0048,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.0568,                0.68746,                 1.0232,                0.93029,                0.88646,                0.94997,                0.66051,                 1.0632,                0.65306,                0.99507,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.0813,                 0.6853,                 1.0353,                0.92112,                 0.8811,                0.94296,                0.65397,                 1.0403,                0.65507,                0.99559,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.0637,                0.68629,                 1.0272,                0.93968,                0.86099,                 0.9487,                0.64907,                 1.0319,                0.66035,                0.99102,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.0631,                0.67267,                 1.0297,                0.91259,                 0.8867,                0.94842,                0.64449,                    1.1,                0.66516,                 1.0065,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.0757,                0.66783,                 1.0391,                0.88483,                0.89726,                0.95051,                0.63944,                 1.1203,                 0.6904,                 1.0111,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.0414,                0.66167,                 1.0262,                0.93061,                0.89647,                0.95544,                0.65539,                 1.0685,                0.65641,                0.98286,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.0588,                0.66137,                 1.0263,                0.89943,                0.89546,                0.95529,                0.65047,                 1.0576,                0.64482,                0.98177,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.0273,                0.64479,                 1.0125,                0.92375,                0.88309,                0.95431,                0.65893,                 1.0408,                0.61472,                0.97548,              0.0012214,              0.0012214,              0.0012214
                     29,                  1.022,                0.63748,                 1.0162,                0.91743,                0.91096,                0.95551,                0.66233,                 1.0419,                0.60634,                0.97705,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.0621,                  0.654,                 1.0221,                0.94085,                 0.8866,                0.96074,                0.66901,                 1.0323,                0.59834,                0.97859,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.0342,                0.62737,                 1.0191,                0.92998,                0.90851,                0.95903,                0.64352,                 1.0949,                0.62056,                0.99768,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.0355,                0.63586,                 1.0167,                0.94885,                0.87278,                0.95345,                0.66215,                 1.0434,                0.62257,                      1,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.0049,                0.61432,                 1.0094,                 0.9352,                0.88035,                0.95522,                0.66905,                 1.0165,                0.59728,                0.98175,              0.0011389,              0.0011389,              0.0011389
                     34,                0.98901,                0.60221,                 1.0012,                0.94453,                0.90536,                0.96126,                 0.6646,                 1.0292,                0.59217,                0.98154,              0.0011224,              0.0011224,              0.0011224
                     35,                0.98328,                0.59887,                 1.0082,                0.90768,                0.91184,                0.96154,                0.66531,                 1.0539,                0.61744,                0.99572,              0.0011059,              0.0011059,              0.0011059
                     36,                0.97952,                0.59626,                0.99337,                0.93288,                0.90513,                0.95811,                 0.6767,                 1.0115,                0.58461,                 0.9829,              0.0010894,              0.0010894,              0.0010894
                     37,                0.95564,                 0.5906,                0.99884,                0.91219,                0.90959,                0.94581,                0.66393,                 1.0532,                0.62125,                 1.0129,              0.0010729,              0.0010729,              0.0010729
                     38,                0.97933,                0.59325,                0.99427,                0.92992,                0.89432,                 0.9501,                0.63488,                 1.1315,                0.65896,                 1.0078,              0.0010564,              0.0010564,              0.0010564
                     39,                0.98311,                0.60045,                  1.006,                0.93827,                0.89497,                0.95208,                0.66685,                 1.0099,                 0.6344,                 0.9739,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.0063,                0.59764,                 1.0083,                 0.9414,                0.89144,                0.95525,                0.66394,                 1.0483,                0.60786,                 0.9829,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.0124,                0.60195,                0.99864,                0.95561,                0.87906,                0.96182,                0.66862,                 1.0181,                0.59709,                0.96855,              0.0010069,              0.0010069,              0.0010069
                     42,                0.97128,                0.58934,                 0.9925,                0.92743,                0.90182,                0.94884,                0.67294,                 1.0283,                 0.5639,                0.98582,             0.00099036,             0.00099036,             0.00099036
                     43,                0.96009,                0.58263,                0.99384,                0.94166,                0.90354,                0.96057,                0.67014,                  1.036,                0.57996,                0.97305,             0.00097386,             0.00097386,             0.00097386
                     44,                0.97483,                0.59002,                0.99884,                 0.9509,                0.90182,                0.95273,                0.66417,                 1.0772,                0.57802,                 1.0022,             0.00095736,             0.00095736,             0.00095736
                     45,                0.95959,                 0.5746,                0.99644,                0.92881,                0.91462,                0.95971,                0.65939,                 1.0936,                0.60844,                0.99388,             0.00094085,             0.00094085,             0.00094085
                     46,                0.93188,                0.56732,                0.99174,                0.92694,                0.91637,                0.95735,                0.65716,                 1.0561,                 0.6118,                0.99853,             0.00092435,             0.00092435,             0.00092435
                     47,                0.92064,                0.55702,                0.97432,                0.95723,                0.90434,                 0.9544,                0.67331,                 1.0553,                0.56504,                0.98733,             0.00090785,             0.00090785,             0.00090785
                     48,                0.91085,                0.54515,                0.97839,                0.91099,                0.91885,                0.95542,                0.66903,                 1.0843,                 0.5814,                 1.0017,             0.00089134,             0.00089134,             0.00089134
                     49,                0.92719,                0.55794,                0.98098,                0.92806,                0.92032,                 0.9624,                0.67633,                 1.0419,                0.58088,                0.98135,             0.00087484,             0.00087484,             0.00087484
                     50,                0.90625,                0.54532,                0.97387,                0.95061,                 0.8929,                0.96042,                0.67442,                 1.0404,                0.55982,                0.98533,             0.00085834,             0.00085834,             0.00085834
                     51,                0.92067,                0.55006,                0.97496,                0.94326,                0.90782,                 0.9597,                0.67752,                 1.0076,                0.57427,                0.97307,             0.00084184,             0.00084184,             0.00084184
                     52,                 0.9291,                0.55122,                0.98681,                0.95282,                0.89736,                0.96278,                0.67641,                 1.0586,                0.56362,                0.99328,             0.00082533,             0.00082533,             0.00082533
                     53,                0.91123,                0.54794,                0.97815,                0.95232,                0.89251,                0.96115,                0.68765,                 1.0052,                0.56252,                0.97473,             0.00080883,             0.00080883,             0.00080883
                     54,                0.90799,                0.54056,                0.98134,                0.92779,                0.90801,                0.95865,                0.66748,                  1.044,                0.58193,                0.98951,             0.00079233,             0.00079233,             0.00079233
                     55,                0.90322,                  0.538,                0.97538,                0.93912,                0.90575,                0.95655,                0.67627,                 1.0438,                0.55478,                0.99331,             0.00077582,             0.00077582,             0.00077582
                     56,                0.90683,                0.53719,                 0.9775,                0.93777,                0.89233,                0.95148,                0.66308,                 1.1036,                0.60168,                 1.0009,             0.00075932,             0.00075932,             0.00075932
                     57,                0.89895,                0.53268,                0.97073,                0.96299,                0.89004,                0.95893,                0.68137,                  1.014,                0.56802,                0.97627,             0.00074282,             0.00074282,             0.00074282
                     58,                0.89402,                0.52261,                0.97908,                0.93232,                0.91054,                0.96018,                0.68164,                 1.0038,                0.55639,                0.98087,             0.00072631,             0.00072631,             0.00072631
                     59,                0.87729,                 0.5206,                0.96724,                0.93445,                0.91256,                0.95772,                0.67501,                 1.0691,                0.57237,                0.99651,             0.00070981,             0.00070981,             0.00070981
                     60,                0.92242,                0.53871,                0.98081,                0.93089,                0.89547,                0.95383,                0.67152,                 1.0402,                0.59663,                0.99425,             0.00069331,             0.00069331,             0.00069331
                     61,                0.89129,                0.52837,                0.97431,                0.96295,                 0.9059,                0.95616,                0.68355,                 1.0341,                0.54569,                0.98974,              0.0006768,              0.0006768,              0.0006768
                     62,                0.88778,                0.52686,                0.96801,                0.95593,                0.90812,                0.96565,                0.68486,                 1.0152,                0.55065,                0.98045,              0.0006603,              0.0006603,              0.0006603
                     63,                0.87372,                0.51609,                  0.959,                0.95518,                0.89968,                0.95793,                 0.6788,                  1.017,                0.54856,                0.97854,              0.0006438,              0.0006438,              0.0006438
                     64,                0.86318,                 0.5145,                0.96389,                0.95518,                0.90622,                0.96062,                 0.6829,                 1.0128,                0.55164,                0.97632,             0.00062729,             0.00062729,             0.00062729
